"","year","shower_name","active_start","peak_date","active_end","active_date_label","peak_date_label","zhr","intensity"
"207",2017,"Eta Aquariids",2017-04-19,2017-05-06,2017-05-28,"Apr 19 - May 28","May 06",50,"Moderate"
"208",2017,"Geminids",2017-12-04,2017-12-14,2017-12-20,"Dec 04 - Dec 20","Dec 14",150,"Very High"
"209",2017,"Leonids",2017-11-06,2017-11-17,2017-11-30,"Nov 06 - Nov 30","Nov 17",15,"Low"
"210",2017,"Lyrids",2017-04-15,2017-04-22,2017-04-29,"Apr 15 - Apr 29","Apr 22",18,"Low"
"211",2017,"Northern Taurids",2017-10-13,2017-11-12,2017-12-02,"Oct 13 - Dec 02","Nov 12",5,"Very Low"
"212",2017,"Orionids",2017-10-02,2017-10-22,2017-11-07,"Oct 02 - Nov 07","Oct 22",20,"Low"
"213",2017,"Perseids",2017-07-17,2017-08-12,2017-08-24,"Jul 17 - Aug 24","Aug 12",100,"High"
"214",2017,"Quadrantids",2017-01-01,2017-01-03,2017-01-05,"Jan 01 - Jan 05","Jan 03",120,"Very High"
"215",2017,"Southern Taurids",2017-09-23,2017-10-10,2017-11-27,"Sep 23 - Nov 27","Oct 10",5,"Very Low"
"216",2017,"Ursids",2017-12-17,2017-12-22,2017-12-26,"Dec 17 - Dec 26","Dec 22",10,"Very Low"
"217",2018,"Delta Aquariids",2018-07-12,2018-07-30,2018-08-23,"Jul 12 - Aug 23","Jul 30",25,"Low"
"218",2018,"Draconids",2018-10-06,2018-10-08,2018-10-10,"Oct 06 - Oct 10","Oct 08",10,"Very Low"
"219",2018,"Eta Aquariids",2018-04-19,2018-05-06,2018-05-28,"Apr 19 - May 28","May 06",50,"Moderate"
"220",2018,"Geminids",2018-12-04,2018-12-14,2018-12-20,"Dec 04 - Dec 20","Dec 14",150,"Very High"
